Rank,Previous Rank,Video Title,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL
1,2,Me porto bonito,Bad Bunny & Chencho Corleone,3,8780985,16.5%,https://www.youtube.com/watch?v=saGYMhApaH8
2,1,Tití me preguntó,Bad Bunny,6,8062804,-0.7%,https://www.youtube.com/watch?v=Cr8K88UcO0s
3,4,PROVENZA (Official Video),KAROL G,11,5338671,-0.7%,https://www.youtube.com/watch?v=ca48oMV59LU
4,3,Te Felicito (Official Video),Shakira & Rauw Alejandro,11,5017908,-18.5%,https://www.youtube.com/watch?v=4I25nV9hXGA
5,5,En El Radio Un Cochinero,Victor Cibrian,8,3294758,-14.8%,https://www.youtube.com/watch?v=xfKrlmo8RLY
6,6,Chale (En Vivo),Edén Muñoz,20,3164440,-2.9%,https://www.youtube.com/watch?v=OLmGL_SvP_M
7,44,Luka,Santa Fe Klan,2,2971290,160.7%,https://www.youtube.com/watch?v=DCmA7Yun_Ss
8,7,"Cnv Sound, Vol. 14",Pure Negga,11,2879220,-7.3%,https://www.youtube.com/watch?v=MIXqIFY51P4
9,11,Moscow Mule (Official Video) | Un Verano Sin Ti,Bad Bunny,9,2632420,2%,https://www.youtube.com/watch?v=p38WgakuYDo
10,12,Tú (En Vivo),Los Elegantes de Jerez & Grupo Firme,4,2572204,10.2%,https://www.youtube.com/watch?v=bqszoG7edts
11,,MORE,J-Hope,1,2414449,,https://www.youtube.com/watch?v=pKdBFeewZYE
12,17,Y Si Se Quiere Ir,"Luis Angel ""El Flaco""",33,2140355,-0.3%,https://www.youtube.com/watch?v=cr_sRIRmvEg
13,14,Envolver,Anitta,18,2132495,-3.6%,https://www.youtube.com/watch?v=hFCjGiawJi4
14,10,Pa' Eso Se Hizo,Kimberly Loaiza & Mr. Pig,2,2080504,-22.2%,https://www.youtube.com/watch?v=A_5EJ9EaNAI
15,16,Los Botones Azules,Luis R Conriquez & Junior H,13,2047042,-5.4%,https://www.youtube.com/watch?v=0d6pElcaC9M
16,19,Ya No Somos Ni Seremos (Letra / Lyrics),Christian Nodal,12,2029230,0.5%,https://www.youtube.com/watch?v=Hx5YuRJrChU
17,23,Ya Supérame (En Vivo),Grupo Firme,49,1973786,9.6%,https://www.youtube.com/watch?v=g2BzGJnNvEw
18,,Si Fuera Fácil,Grupo Marca Registrada,2,1898428,,https://www.youtube.com/watch?v=oJPV2QuRIq8
19,26,Chuy Lizárraga y su Banda Tierra Sinaloense - Partido en Dos - Video Oficial,Chuy Lizárraga,8,1884050,8.9%,https://www.youtube.com/watch?v=78xiDDpZQO0
20,18,San Lucas,Kevin Kaarl,24,1882299,-11.2%,https://www.youtube.com/watch?v=7-Ikexq03O0
21,15,Ojitos Lindos,Bad Bunny & Bomba Estéreo,9,1853793,-14.6%,https://www.youtube.com/watch?v=10EX-_h4pYc
22,27,Si Te Pudiera Mentir (LETRA),Calibre 50,30,1763285,5.2%,https://www.youtube.com/watch?v=zcq7khV_jDQ
23,22,"Villano Antillano: Bzrp Music Sessions, Vol. 51",Bizarrap & Villano Antillano,5,1740521,-6.3%,https://www.youtube.com/watch?v=wvz97-lNPH8
24,20,Efecto (360° Visualizer) | Un Verano Sin Ti,Bad Bunny,9,1692756,-12.6%,https://www.youtube.com/watch?v=Nk8C9FdCdJQ
25,8,Me Porto Bonito  (360° Visualizer) | Un Verano Sin Ti,Bad Bunny,9,1661886,-41.8%,https://www.youtube.com/watch?v=xn21hH7kyx8
26,24,Mar y Tierra,Santa Fe Klan,14,1645037,-8.4%,https://www.youtube.com/watch?v=Jf-dYCfMrw4
